Address,Lat,Long,Type,Bed,Bath,Parking,Bond,Price
"2212/22-24 Jane Bell Lane, Melbourne VIC 3000",-37.8103416,144.9655365,Apartment/Unit/Flat,1,1,0,2303.0,530.0
"909/25 Wills Street, Melbourne VIC 3000",-37.81064318298057,144.95719910387135,Apartment/Unit/Flat,1,1,0,2390.0,550.0
"302/258 Flinders Lane, Melbourne VIC 3000",-37.8167784,144.9655273,Apartment/Unit/Flat,1,1,0,2302.0,530.0
"301/68 Hayward Lane, Melbourne VIC 3000",-37.810200502588565,144.96736536154143,Apartment/Unit/Flat,1,1,0,1738.0,400.0
"1403/60 A'beckett Street, Melbourne VIC 3000",-37.809513321321596,144.95991137429817,Apartment/Unit/Flat,2,2,1,5700.0,950.0
"909/31 A'beckett Street, Melbourne VIC 3000",-37.809513321321596,144.95991137429817,Apartment/Unit/Flat,1,1,1,2390.0,550.0
"3302/648 Lonsdale St, Melbourne VIC 3000",-37.81042007493952,144.968416157676,Apartment/Unit/Flat,2,2,0,3998.0,
"5/50 Bourke Street, Melbourne VIC 3000",-37.81166099635424,144.9717932337775,Apartment/Unit/Flat,3,2,1,4019.0,925.0
"502/639 Little Bourke Street, Melbourne VIC 3000",-37.816016,144.9535475,Apartment/Unit/Flat,2,1,0,3476.0,750.0
"5107/442-450 Elizabeth Street, Melbourne VIC 3000",-37.80482508406191,144.95901993503796,Apartment/Unit/Flat,3,2,1,,1.0
"3208/38 Rose Lane, Melbourne VIC 3000",-37.8148091,144.9539615,Apartment/Unit/Flat,2,1,1,3172.0,730.0
"6302/442 Elizabeth Street, Melbourne VIC 3000",-37.80482508406191,144.95901993503796,Apartment/Unit/Flat,2,1,1,3477.0,800.0
"504/253 Franklin Street, Melbourne VIC 3000",-37.8083953,144.9593875,Apartment/Unit/Flat,2,1,0,2564.0,590.0
"1007/33 Rose Lane, Melbourne VIC 3000",-37.8148091,144.9539615,Apartment/Unit/Flat,3,2,0,4997.0,1.0
"901/181 ABeckett Street, Melbourne VIC 3000",-38.116467163929414,145.14913753991942,Studio,0,1,0,,470.0
"1701/39 Lonsdale Street, Melbourne VIC 3000",-37.809903,144.9711068,Apartment/Unit/Flat,2,1,0,2346.0,540.0
"806/118 Franklin Street, Melbourne VIC 3000",-37.8083953,144.9593875,Apartment/Unit/Flat,1,1,0,1680.0,420.0
"1010/639 Lonsdale Street, Melbourne VIC 3000",-37.81533785,144.9537122918212,Apartment/Unit/Flat,2,2,0,3259.0,750.0
"1003/133 Russell Street, Melbourne VIC 3000",-37.80988329701616,144.96685435689406,Apartment/Unit/Flat,2,2,1,4997.0,1150.0
"2004/120 Abeckett Street, Melbourne VIC 3000",-38.116467163929414,145.14913753991942,Apartment/Unit/Flat,1,1,0,2694.0,620.0
"5003/442 Elizabeth Street, Melbourne VIC 3000",-37.80482508406191,144.95901993503796,Apartment/Unit/Flat,1,1,0,2825.0,650.0
"1307/120 Abeckett Street, Melbourne VIC 3000",-38.116467163929414,145.14913753991942,Apartment/Unit/Flat,1,1,0,2824.0,650.0
"1405/318 Russell Street, Melbourne VIC 3000",-37.8093382,144.9668029,Apartment/Unit/Flat,1,1,0,2738.0,630.0
"201/593 Elizabeth Street, Melbourne VIC 3000",-37.8044707,144.9582695,Apartment/Unit/Flat,1,1,0,1608.0,370.0
"2213/288 Spencer Street, Melbourne VIC 3000",-37.816919,144.9532606,Apartment/Unit/Flat,1,1,0,2303.0,530.0
